timestamp,consumption_kwh,demand_kw,voltage,current,power_factor,temperature
2024-01-01 00:00:00,33.82,32.24,228.1,148.8,0.95,11.8
2024-01-01 01:00:00,36.23,37.2,225.2,185.0,0.893,13.8
2024-01-01 02:00:00,29.73,28.34,230.4,128.9,0.954,12.9
2024-01-01 03:00:00,31.29,31.03,231.4,139.4,0.962,13.1
2024-01-01 04:00:00,29.58,28.64,226.7,141.5,0.893,13.0
2024-01-01 05:00:00,32.97,34.44,227.3,169.3,0.895,11.5
2024-01-01 06:00:00,33.14,33.84,227.2,164.6,0.905,10.8
2024-01-01 07:00:00,39.23,38.56,232.7,184.1,0.9,13.7
2024-01-01 08:00:00,58.21,53.98,230.7,250.0,0.936,12.5
2024-01-01 09:00:00,55.66,53.31,224.4,264.3,0.899,10.5
2024-01-01 10:00:00,52.15,54.68,234.5,242.1,0.963,11.2
2024-01-01 11:00:00,45.8,46.58,229.5,210.5,0.964,10.8
2024-01-01 12:00:00,37.98,37.61,231.0,179.1,0.909,11.6
2024-01-01 13:00:00,29.03,30.39,230.1,135.0,0.978,12.9
2024-01-01 14:00:00,31.24,33.32,233.5,151.3,0.943,12.1
2024-01-01 15:00:00,35.12,35.8,230.3,159.4,0.975,11.2
2024-01-01 16:00:00,34.26,37.16,232.2,168.5,0.95,14.6
2024-01-01 17:00:00,53.71,52.53,229.2,257.8,0.889,10.5
2024-01-01 18:00:00,75.33,71.06,230.0,345.2,0.895,8.1
2024-01-01 19:00:00,82.08,77.49,231.7,373.3,0.896,13.1
2024-01-01 20:00:00,68.27,65.52,233.3,304.6,0.922,11.0
2024-01-01 21:00:00,50.7,52.17,235.1,251.9,0.881,11.6
2024-01-01 22:00:00,33.97,35.05,234.5,167.8,0.891,13.7
2024-01-01 23:00:00,33.91,33.99,233.1,163.3,0.893,12.3
2024-01-02 00:00:00,30.8,30.92,227.2,145.2,0.937,11.9
2024-01-02 01:00:00,28.06,29.42,232.8,134.9,0.937,12.9
2024-01-02 02:00:00,37.46,34.71,229.3,160.2,0.945,12.2
2024-01-02 03:00:00,31.58,33.04,231.1,155.9,0.917,11.0
2024-01-02 04:00:00,32.25,34.63,226.7,162.0,0.943,11.9
2024-01-02 05:00:00,25.79,27.69,232.0,131.2,0.91,14.3
2024-01-02 06:00:00,39.14,36.59,229.7,170.0,0.937,12.0
2024-01-02 07:00:00,34.18,35.96,229.2,175.5,0.894,12.4
2024-01-02 08:00:00,56.79,54.78,235.8,247.4,0.939,10.3
2024-01-02 09:00:00,56.87,58.37,227.0,269.5,0.954,13.0
2024-01-02 10:00:00,53.92,54.6,227.0,266.4,0.903,12.4
2024-01-02 11:00:00,41.39,39.13,224.6,186.5,0.934,13.2
2024-01-02 12:00:00,35.33,32.86,234.2,144.6,0.97,14.7
2024-01-02 13:00:00,33.73,35.35,224.7,170.6,0.922,12.7
2024-01-02 14:00:00,40.06,41.62,229.5,190.1,0.954,8.6
2024-01-02 15:00:00,44.2,40.95,232.6,188.5,0.934,8.5
2024-01-02 16:00:00,45.15,42.0,230.5,194.9,0.935,12.5
2024-01-02 17:00:00,51.69,51.0,234.2,235.4,0.925,11.8
2024-01-02 18:00:00,65.92,70.67,231.1,344.4,0.888,13.9
2024-01-02 19:00:00,66.68,71.0,227.0,328.5,0.952,11.3
2024-01-02 20:00:00,64.16,65.0,230.3,304.5,0.927,10.1
2024-01-02 21:00:00,52.25,50.5,228.7,245.1,0.901,12.7
2024-01-02 22:00:00,37.58,38.72,224.9,180.8,0.952,11.2
2024-01-02 23:00:00,45.07,41.76,226.6,207.1,0.89,6.6
2024-01-03 00:00:00,42.09,39.67,228.4,180.4,0.963,11.6
2024-01-03 01:00:00,37.12,35.95,235.8,162.0,0.941,13.5
2024-01-03 02:00:00,33.89,32.25,232.0,152.1,0.914,11.8
2024-01-03 03:00:00,29.32,31.24,230.6,151.0,0.897,12.7
2024-01-03 04:00:00,38.1,36.82,231.6,175.9,0.904,11.6
2024-01-03 05:00:00,38.85,36.48,225.1,168.5,0.962,11.8
2024-01-03 06:00:00,34.16,37.11,231.6,167.8,0.955,10.8
2024-01-03 07:00:00,47.15,46.76,224.1,226.8,0.92,11.7
2024-01-03 08:00:00,55.94,52.54,234.0,242.0,0.928,14.7
2024-01-03 09:00:00,53.79,57.2,234.8,269.2,0.905,11.2
2024-01-03 10:00:00,48.43,45.52,227.0,222.6,0.901,12.8
2024-01-03 11:00:00,45.79,43.14,231.4,202.9,0.919,14.0
2024-01-03 12:00:00,41.52,39.23,233.7,172.7,0.972,13.9
2024-01-03 13:00:00,33.52,32.3,235.2,149.8,0.917,12.2
2024-01-03 14:00:00,27.82,26.5,233.4,124.4,0.913,12.9
2024-01-03 15:00:00,38.73,36.63,233.8,173.1,0.905,14.3
2024-01-03 16:00:00,43.97,41.99,224.3,207.1,0.904,10.7
2024-01-03 17:00:00,57.21,54.06,227.3,246.5,0.965,12.4
2024-01-03 18:00:00,69.21,64.26,235.3,295.9,0.923,11.0
2024-01-03 19:00:00,71.48,75.36,227.2,347.0,0.956,14.9
2024-01-03 20:00:00,69.32,66.87,231.3,320.9,0.901,13.2
2024-01-03 21:00:00,53.59,52.94,232.5,252.4,0.902,10.4
2024-01-03 22:00:00,38.22,37.99,232.9,171.7,0.95,15.3
2024-01-03 23:00:00,30.52,32.78,228.0,151.8,0.947,11.2
2024-01-04 00:00:00,40.0,38.64,227.7,186.1,0.912,10.9
2024-01-04 01:00:00,33.95,35.1,229.0,170.9,0.897,10.7
2024-01-04 02:00:00,30.94,29.07,227.6,135.3,0.944,14.1
2024-01-04 03:00:00,31.28,32.38,231.0,151.4,0.926,12.0
2024-01-04 04:00:00,30.12,30.4,229.7,145.9,0.907,11.1
2024-01-04 05:00:00,26.51,27.99,230.2,135.7,0.896,14.2
2024-01-04 06:00:00,35.46,33.74,232.1,152.4,0.954,11.1
2024-01-04 07:00:00,40.11,43.41,229.7,208.8,0.905,12.2
2024-01-04 08:00:00,49.92,50.61,226.3,238.9,0.936,12.4
2024-01-04 09:00:00,52.33,54.57,224.1,259.9,0.937,11.4
2024-01-04 10:00:00,43.79,46.73,226.1,224.7,0.92,12.0
2024-01-04 11:00:00,36.39,39.21,234.2,184.6,0.907,13.8
2024-01-04 12:00:00,39.61,38.58,231.1,171.6,0.973,9.4
2024-01-04 13:00:00,29.08,28.57,230.1,130.3,0.953,15.0
2024-01-04 14:00:00,30.7,28.87,229.7,131.6,0.955,12.9
2024-01-04 15:00:00,37.72,36.91,230.3,168.0,0.954,12.0
2024-01-04 16:00:00,36.59,39.24,227.3,189.7,0.91,11.2
2024-01-04 17:00:00,52.67,55.9,232.3,268.0,0.898,11.2
2024-01-04 18:00:00,63.88,64.84,229.0,306.8,0.923,11.9
2024-01-04 19:00:00,79.96,75.1,232.3,350.3,0.923,12.4
2024-01-04 20:00:00,59.37,60.53,228.2,302.8,0.876,13.6
2024-01-04 21:00:00,49.24,45.91,233.0,214.4,0.919,12.1
2024-01-04 22:00:00,38.85,40.67,229.2,196.5,0.903,10.1
2024-01-04 23:00:00,35.0,34.02,226.0,163.1,0.923,13.4
2024-01-05 00:00:00,33.85,33.2,228.7,163.3,0.889,11.4
2024-01-05 01:00:00,33.02,32.28,229.5,156.5,0.899,11.8
2024-01-05 02:00:00,30.63,32.11,233.1,150.2,0.917,13.5
2024-01-05 03:00:00,39.19,37.21,225.0,182.1,0.908,10.3
2024-01-05 04:00:00,33.8,31.3,231.8,146.9,0.919,14.0
2024-01-05 05:00:00,29.24,28.1,226.4,127.4,0.974,12.6
2024-01-05 06:00:00,32.4,34.46,230.8,157.8,0.946,13.0
2024-01-05 07:00:00,47.62,45.67,231.3,220.1,0.897,12.6
2024-01-05 08:00:00,52.88,50.31,225.3,230.9,0.967,12.1
2024-01-05 09:00:00,58.31,56.7,228.8,257.1,0.964,13.4
2024-01-05 10:00:00,52.26,50.71,225.2,240.6,0.936,12.0
2024-01-05 11:00:00,35.9,35.33,235.8,167.0,0.897,12.6
2024-01-05 12:00:00,31.64,32.01,230.1,151.0,0.921,12.4
2024-01-05 13:00:00,40.96,38.95,235.5,185.0,0.894,10.6
2024-01-05 14:00:00,31.01,30.01,232.8,139.1,0.927,10.3
2024-01-05 15:00:00,34.73,33.1,229.8,154.1,0.935,13.3
2024-01-05 16:00:00,42.28,43.91,234.0,195.7,0.959,9.9
2024-01-05 17:00:00,50.67,52.84,231.3,248.0,0.921,14.8
2024-01-05 18:00:00,70.12,66.39,226.5,329.3,0.89,11.9
2024-01-05 19:00:00,73.61,69.39,227.3,326.5,0.935,12.5
2024-01-05 20:00:00,59.64,63.88,229.9,295.9,0.939,15.8
2024-01-05 21:00:00,48.14,47.04,233.5,217.8,0.925,12.3
2024-01-05 22:00:00,41.94,40.69,231.0,193.4,0.911,13.0
2024-01-05 23:00:00,36.18,36.62,228.0,168.7,0.952,10.3
2024-01-06 00:00:00,21.8,22.7,226.3,111.2,0.902,11.9
2024-01-06 01:00:00,27.26,26.16,226.6,127.4,0.906,13.6
2024-01-06 02:00:00,29.12,27.06,227.4,127.1,0.936,9.9
2024-01-06 03:00:00,24.09,25.19,224.2,124.0,0.906,13.1
2024-01-06 04:00:00,27.05,25.14,232.4,115.1,0.94,11.1
2024-01-06 05:00:00,27.59,27.63,230.9,123.7,0.967,14.4
2024-01-06 06:00:00,27.09,28.53,235.3,135.8,0.893,10.7
2024-01-06 07:00:00,34.03,34.58,231.6,167.2,0.893,9.5
2024-01-06 08:00:00,39.58,39.19,235.9,182.2,0.912,13.1
2024-01-06 09:00:00,46.2,45.43,226.7,210.3,0.953,14.1
2024-01-06 10:00:00,39.79,40.16,235.9,177.2,0.961,10.6
2024-01-06 11:00:00,36.76,36.13,235.4,161.2,0.952,11.5
2024-01-06 12:00:00,29.2,28.47,226.1,139.4,0.903,12.5
2024-01-06 13:00:00,24.87,25.07,227.5,116.9,0.943,12.4
2024-01-06 14:00:00,30.5,29.54,232.2,136.9,0.929,12.5
2024-01-06 15:00:00,22.52,22.08,235.2,98.7,0.951,14.6
2024-01-06 16:00:00,34.46,33.66,233.9,148.7,0.968,10.6
2024-01-06 17:00:00,38.2,39.41,230.8,179.4,0.952,13.1
2024-01-06 18:00:00,52.93,51.38,235.3,231.8,0.942,12.1
2024-01-06 19:00:00,52.32,56.09,229.2,277.8,0.881,10.5
2024-01-06 20:00:00,48.75,52.16,234.0,230.8,0.966,11.8
2024-01-06 21:00:00,41.63,38.55,227.2,179.5,0.945,9.0
2024-01-06 22:00:00,29.8,29.94,235.0,134.5,0.947,14.7
2024-01-06 23:00:00,29.95,29.32,225.1,139.6,0.933,13.1
2024-01-07 00:00:00,28.18,27.43,228.0,124.5,0.966,11.6
2024-01-07 01:00:00,24.19,22.58,230.6,101.6,0.964,12.0
2024-01-07 02:00:00,25.6,26.35,228.9,117.8,0.977,11.1
2024-01-07 03:00:00,28.05,27.36,229.0,127.4,0.938,7.9
2024-01-07 04:00:00,27.94,26.84,233.1,121.7,0.946,12.9
2024-01-07 05:00:00,30.08,28.15,232.4,130.5,0.928,12.9
2024-01-07 06:00:00,30.57,30.05,225.9,146.2,0.91,15.3
2024-01-07 07:00:00,29.66,31.72,235.0,138.2,0.977,10.6
2024-01-07 08:00:00,42.23,40.1,232.6,185.6,0.929,11.7
2024-01-07 09:00:00,46.53,44.16,226.9,200.4,0.971,11.2
2024-01-07 10:00:00,42.03,39.37,234.6,180.4,0.93,11.0
2024-01-07 11:00:00,30.37,29.02,235.2,133.2,0.926,13.2
2024-01-07 12:00:00,27.54,28.53,231.0,135.0,0.915,9.6
2024-01-07 13:00:00,22.26,23.59,228.1,110.1,0.939,14.1
2024-01-07 14:00:00,25.01,25.19,226.3,121.1,0.919,10.6
2024-01-07 15:00:00,22.07,23.05,224.5,106.8,0.961,11.8
2024-01-07 16:00:00,27.2,25.91,232.0,120.9,0.924,12.3
2024-01-07 17:00:00,30.11,30.13,230.0,147.0,0.891,14.2
2024-01-07 18:00:00,51.37,48.47,230.3,228.8,0.92,9.8
2024-01-07 19:00:00,56.87,57.7,225.9,272.9,0.936,10.1
2024-01-07 20:00:00,52.87,54.27,231.8,248.8,0.941,8.5
2024-01-07 21:00:00,35.01,33.11,227.8,157.8,0.921,14.1
2024-01-07 22:00:00,27.5,25.95,224.8,129.3,0.893,11.9
2024-01-07 23:00:00,24.98,23.14,229.2,105.4,0.958,10.1
2024-01-08 00:00:00,35.08,33.11,232.3,153.8,0.927,14.2
2024-01-08 01:00:00,32.64,31.16,228.5,149.2,0.914,12.9
