id,timestamp,consumption_kwh,demand_kw,voltage,current,power_factor,temperature,source,location,created_at
1,2026-03-11 14:40:41.530206,50.02,44.14,230.9,12.3,0.93,21.7,smart_meter_01,Building A - Main Meter,2026-03-11 09:10:43.583655
2,2026-03-11 14:40:48.594962,53.61,49.18,228.2,30.5,0.96,26.0,smart_meter_01,Building A - Main Meter,2026-03-11 09:10:50.643939
3,2026-03-11 14:40:55.660281,41.02,37.12,229.3,23.9,0.98,22.7,smart_meter_01,Building A - Main Meter,2026-03-11 09:10:57.705363
4,2026-03-11 14:41:02.713693,50.49,46.85,230.8,39.0,0.94,19.9,smart_meter_01,Building A - Main Meter,2026-03-11 09:11:04.745488
5,2026-03-11 14:41:09.770680,54.49,47.81,230.4,42.1,0.97,25.2,smart_meter_01,Building A - Main Meter,2026-03-11 09:11:11.803027
6,2026-03-11 14:41:16.822043,53.85,43.89,232.7,35.7,0.92,19.9,smart_meter_01,Building A - Main Meter,2026-03-11 09:11:18.872529
7,2026-03-11 14:41:23.882191,50.71,46.04,229.3,25.9,0.97,25.2,smart_meter_01,Building A - Main Meter,2026-03-11 09:11:25.932259
8,2026-03-11 14:41:30.945209,44.47,39.82,230.8,18.4,0.98,27.8,smart_meter_01,Building A - Main Meter,2026-03-11 09:11:32.990519
9,2026-03-11 14:41:38.004737,44.8,39.75,232.9,47.3,0.98,22.5,smart_meter_01,Building A - Main Meter,2026-03-11 09:11:40.050840
10,2026-03-11 14:41:45.069613,37.35,36.66,234.3,34.3,0.93,21.3,smart_meter_01,Building A - Main Meter,2026-03-11 09:11:47.121921
11,2026-03-11 14:41:52.132996,39.33,33.98,231.3,17.3,0.94,21.0,smart_meter_01,Building A - Main Meter,2026-03-11 09:11:54.185093
12,2026-03-11 14:41:59.195598,52.57,48.29,234.9,27.8,0.95,25.5,smart_meter_01,Building A - Main Meter,2026-03-11 09:12:01.240642
13,2026-03-11 14:42:06.256445,36.23,32.31,234.0,13.1,0.97,18.5,smart_meter_01,Building A - Main Meter,2026-03-11 09:12:08.288192
14,2026-03-11 14:42:13.306839,35.65,29.3,229.6,48.2,0.92,21.5,smart_meter_01,Building A - Main Meter,2026-03-11 09:12:15.361516
15,2026-03-11 14:42:20.373485,54.01,48.15,233.2,22.8,0.93,26.3,smart_meter_01,Building A - Main Meter,2026-03-11 09:12:22.428781
16,2026-03-11 14:42:27.439893,50.33,40.95,232.2,25.4,0.93,21.8,smart_meter_01,Building A - Main Meter,2026-03-11 09:12:29.498699
17,2026-03-11 14:42:34.514460,43.34,36.47,229.5,47.0,0.95,27.1,smart_meter_01,Building A - Main Meter,2026-03-11 09:12:36.561054
18,2026-03-11 14:42:41.575618,48.73,42.45,229.8,17.4,0.92,25.8,smart_meter_01,Building A - Main Meter,2026-03-11 09:12:43.605939
19,2026-03-11 14:42:48.619697,47.58,44.17,230.2,44.5,0.97,18.7,smart_meter_01,Building A - Main Meter,2026-03-11 09:12:50.652703
20,2026-03-11 14:42:55.666813,50.27,43.52,230.1,15.0,0.96,23.0,smart_meter_01,Building A - Main Meter,2026-03-11 09:12:57.697137
